Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
1.7200e+00,9.7451e-01,3.8951e-01,3.0190e+03,3.0190e+03,1.7200e+00,0.0000e+00
1.7300e+00,1.0225e+00,4.0869e-01,3.1477e+03,3.1477e+03,1.7300e+00,0.0000e+00
1.7400e+00,1.0699e+00,4.2762e-01,3.2748e+03,3.2748e+03,1.7400e+00,0.0000e+00
1.7500e+00,1.1166e+00,4.4629e-01,3.4001e+03,3.4001e+03,1.7500e+00,0.0000e+00
1.7600e+00,1.1626e+00,4.6468e-01,3.5235e+03,3.5235e+03,1.7600e+00,0.0000e+00
1.7700e+00,1.2079e+00,4.8279e-01,3.6450e+03,3.6451e+03,1.7700e+00,0.0000e+00
1.7800e+00,1.2525e+00,5.0061e-01,3.7647e+03,3.7647e+03,1.7800e+00,0.0000e+00
1.7900e+00,1.2963e+00,5.1814e-01,3.8823e+03,3.8823e+03,1.7900e+00,0.0000e+00
1.8000e+00,1.3394e+00,5.3538e-01,3.9980e+03,3.9980e+03,1.8000e+00,0.0000e+00
1.8100e+00,1.3819e+00,5.5233e-01,4.1118e+03,4.1118e+03,1.8100e+00,0.0000e+00
1.8200e+00,1.4236e+00,5.6900e-01,4.2236e+03,4.2237e+03,1.8200e+00,0.0000e+00
1.8300e+00,1.4646e+00,5.8540e-01,4.3337e+03,4.3337e+03,1.8300e+00,0.0000e+00
1.8400e+00,1.5050e+00,6.0155e-01,4.4421e+03,4.4421e+03,1.8400e+00,0.0000e+00
1.8500e+00,1.5448e+00,6.1746e-01,4.5489e+03,4.5489e+03,1.8500e+00,0.0000e+00
1.8600e+00,1.5841e+00,6.3315e-01,4.6542e+03,4.6542e+03,1.8600e+00,0.0000e+00
1.8700e+00,1.6228e+00,6.4865e-01,4.7581e+03,4.7581e+03,1.8700e+00,0.0000e+00
1.8800e+00,1.6612e+00,6.6396e-01,4.8609e+03,4.8609e+03,1.8800e+00,0.0000e+00
1.8900e+00,1.6991e+00,6.7913e-01,4.9626e+03,4.9626e+03,1.8900e+00,0.0000e+00
1.9000e+00,1.7367e+00,6.9415e-01,5.0635e+03,5.0635e+03,1.9000e+00,0.0000e+00
1.9100e+00,1.7740e+00,7.0907e-01,5.1635e+03,5.1635e+03,1.9100e+00,0.0000e+00
1.9200e+00,1.8111e+00,7.2389e-01,5.2630e+03,5.2630e+03,1.9200e+00,0.0000e+00
1.9300e+00,1.8480e+00,7.3864e-01,5.3619e+03,5.3619e+03,1.9300e+00,0.0000e+00
1.9400e+00,1.8847e+00,7.5333e-01,5.4605e+03,5.4605e+03,1.9400e+00,0.0000e+00
1.9500e+00,1.9214e+00,7.6798e-01,5.5588e+03,5.5588e+03,1.9500e+00,0.0000e+00
1.9600e+00,1.9580e+00,7.8260e-01,5.6569e+03,5.6569e+03,1.9600e+00,0.0000e+00
1.9700e+00,1.9945e+00,7.9720e-01,5.7548e+03,5.7548e+03,1.9700e+00,0.0000e+00
1.9800e+00,2.0310e+00,8.1180e-01,5.8528e+03,5.8528e+03,1.9800e+00,0.0000e+00
1.9900e+00,2.0675e+00,8.2640e-01,5.9507e+03,5.9507e+03,1.9900e+00,0.0000e+00
2.0000e+00,2.1041e+00,8.4101e-01,6.0488e+03,6.0488e+03,2.0000e+00,0.0000e+00
